Generation,Strain,Population,Prop_CNV,Multicopy_mCitrine
5,DGY1976,gln_h_bc01,1.54E-03,1.54E-01
5,DGY1883,gln_h_bc05,0.001585143,0.1585143
12,DGY1976,gln_h_bc01,9.06E-03,9.06E-01
12,DGY1883,gln_h_bc05,1.70E-02,1.70E+00
21,DGY1976,gln_h_bc01,1.63E-02,1.63E+00
21,DGY1883,gln_h_bc05,2.70E-02,2.70E+00
29,DGY1976,gln_h_bc01,2.39E-02,2.39E+00
29,DGY1883,gln_h_bc05,2.37E-02,2.37E+00
37,DGY1976,gln_h_bc01,0.023799127,2.3799127
37,DGY1883,gln_h_bc05,0.028141368,2.8141368
45,DGY1976,gln_h_bc01,0.044696631,4.4696631
45,DGY1883,gln_h_bc05,0.038182616,3.8182616
54,DGY1976,gln_h_bc01,0.130662596,13.0662596
54,DGY1883,gln_h_bc05,0.091507171,9.1507171
62,DGY1976,gln_h_bc01,0.315776881,31.5776881
62,DGY1883,gln_h_bc05,0.201986892,20.1986892
70,DGY1976,gln_h_bc01,0.605880536,60.5880536
70,DGY1883,gln_h_bc05,0.399921604,39.9921604
79,DGY1976,gln_h_bc01,0.769593231,76.9593231
79,DGY1883,gln_h_bc05,0.530370614,53.0370614
87,DGY1976,gln_h_bc01,0.806116119,80.6116119
87,DGY1883,gln_h_bc05,0.583862645,58.3862645
91,DGY1976,gln_h_bc01,0.815271088,81.5271088
91,DGY1883,gln_h_bc05,0.592606024,59.2606024
99,DGY1976,gln_h_bc01,0.842463923,84.2463923
99,DGY1883,gln_h_bc05,0.654887521,65.4887521
108,DGY1976,gln_h_bc01,0.863102221,86.3102221
108,DGY1883,gln_h_bc05,0.660540974,66.0540974
116,DGY1976,gln_h_bc01,0.852264498,85.2264498
116,DGY1883,gln_h_bc05,0.706233926,70.6233926
124,DGY1976,gln_h_bc01,0.862782825,86.2782825
124,DGY1883,gln_h_bc05,0.716225699,71.6225699
132,DGY1976,gln_h_bc01,0.88569345,88.569345
132,DGY1883,gln_h_bc05,0.708786541,70.8786541
140,DGY1976,gln_h_bc01,0.895093635,89.5093635
140,DGY1883,gln_h_bc05,0.74866077,74.866077
149,DGY1976,gln_h_bc01,0.903228772,90.3228772
149,DGY1883,gln_h_bc05,0.731570711,73.1570711
157,DGY1976,gln_h_bc01,0.885655984,88.5655984
157,DGY1883,gln_h_bc05,0.660158186,66.0158186
166,DGY1976,gln_h_bc01,0.921187993,92.1187993
166,DGY1883,gln_h_bc05,0.510215821,51.0215821
174,DGY1976,gln_h_bc01,0.926925447,92.6925447
174,DGY1883,gln_h_bc05,0.355022222,35.5022222
182,DGY1976,gln_h_bc01,0.93705025,93.705025
182,DGY1883,gln_h_bc05,0.25018464,25.018464
190,DGY1976,gln_h_bc01,0.933608521,93.3608521
190,DGY1883,gln_h_bc05,0.144103676,14.4103676
199,DGY1976,gln_h_bc01,0.937329645,93.7329645
199,DGY1883,gln_h_bc05,0.116867864,11.6867864
207,DGY1976,gln_h_bc01,0.940764978,94.0764978
207,DGY1883,gln_h_bc05,0.094141326,9.4141326
215,DGY1976,gln_h_bc01,0.906332639,90.6332639
215,DGY1883,gln_h_bc05,0.072192864,7.2192864
232,DGY1976,gln_h_bc01,0.92301171,92.301171
232,DGY1883,gln_h_bc05,0.061989166,6.1989166
240,DGY1976,gln_h_bc01,0.904065627,90.4065627
240,DGY1883,gln_h_bc05,0.050563936,5.0563936
248,DGY1976,gln_h_bc01,0.944257239,94.4257239
248,DGY1883,gln_h_bc05,0.073874357,7.3874357
257,DGY1976,gln_h_bc01,0.953883077,95.3883077
257,DGY1883,gln_h_bc05,0.072227455,7.2227455
265,DGY1976,gln_h_bc01,0.95481562,95.481562
265,DGY1883,gln_h_bc05,0.063727054,6.3727054
273,DGY1976,gln_h_bc01,0.959550786,95.9550786
273,DGY1883,gln_h_bc05,0.063855151,6.3855151
