Generation,Strain,Population,Multicopy_mCitrine,Multicopy_mCherry
29.5,DGY2769,C10,0.031965903,0.170484816
29.5,DGY2748,F9,0.2307587892,0.217184743
29.5,DGY2702,H9,0.134138162,0.4471272077
46.3,DGY2769,C10,0.05223568742,0.282072712
46.3,DGY2748,F9,0.033307428,0.4996114133
46.3,DGY2702,H9,0.083822297,0.356244761
58.9,DGY2769,C10,0.075463562,4.031910306
58.9,DGY2748,F9,0.218914186,0.9522767075
58.9,DGY2702,H9,0.269396552,0.8728448276
75.8,DGY2769,C10,0.031436655,73.14261763
75.8,DGY2748,F9,1.02862254,2.403846154
75.8,DGY2702,H9,0.355833513,0.700884192
88.4,DGY2769,C10,0.03154905879,88.8526659
88.4,DGY2748,F9,4.239621187,6.254817751
88.4,DGY2702,H9,1.041442989,1.621215375
105.3,DGY2769,C10,0.4103967168,90.1399558
105.3,DGY2748,F9,18.3389398,22.65398446
105.3,DGY2702,H9,2.688705234,3.603305785
117.9,DGY2769,C10,0.042091971,92.98116384
117.9,DGY2748,F9,37.83492823,44.76076555
117.9,DGY2702,H9,3.683060109,4.229508197
134.7,DGY2769,C10,0.010625863,96.80161513
134.7,DGY2748,F9,49.6496964,68.71788884
134.7,DGY2702,H9,2.762730228,3.943661972
147.4,DGY2769,C10,7.721884012,83.56296059
147.4,DGY2748,F9,55.81395349,76.46371392
147.4,DGY2702,H9,2.270703473,3.840160285
164.2,DGY2769,C10,0.010638298,96.4893617
164.2,DGY2748,F9,44.65104748,69.55497707
164.2,DGY2702,H9,1.42841446,3.373255686
176.8,DGY2769,C10,0.031979533,90.71527556
176.8,DGY2748,F9,36.83006142,51.52354571
176.8,DGY2702,H9,1.190220888,2.809350204
193.7,DGY2769,C10,0.1154370868,93.91331724
193.7,DGY2748,F9,44.47789955,56.73852824
193.7,DGY2702,H9,1.766190076,9.913793103
206.3,DGY2769,C10,0.196993261,91.33229653
206.3,DGY2748,F9,42.40877498,51.82450043
206.3,DGY2702,H9,5.778972397,28.8018195
223.2,DGY2769,C10,0.127618845,97.05413166
223.2,DGY2748,F9,31.26847011,41.73675835
223.2,DGY2702,H9,1.528315712,42.92892285
235.8,DGY2769,C10,0.085251492,96.9629156
235.8,DGY2748,F9,19.0817442,33.52362444
235.8,DGY2702,H9,0.283732661,63.49306431
252.6,DGY2769,C10,0.0539083558,96.36657682
252.6,DGY2748,F9,11.2720403,11.31402183
252.6,DGY2702,H9,0.311591192,63.55421687
265.3,DGY2769,C10,1.716259891,99.24217096
265.3,DGY2748,F9,3.435634231,3.603226144
265.3,DGY2702,H9,0.4962517158,70.93231971
