Generation,Strain,Median_B2A_Singlets,Median_FSCA_Singlets,MedianB2A_by_MedianFSCA,0copy_mCitrine,1copy_mCitrine,Multicopy_mCitrine
0,DGY1733_1,235841.28,2186464.25,0.107864229,0.05,30.59,71.11
0,DGY1744_2,344482.31,1496405.63,0.230206505,0.18,0.09,99.71
0,DGY1741_2,811716.63,2183340.25,0.371777431,0.03,0.05,99.86
0,DGY1735_1,438927.75,1966362.5,0.223218125,0.14,4.86,95.46
0,DGY1743_2,375315.97,1621530.75,0.231457819,0.05,0.02,99.93
0,DGY1_3,913.06,1367122,0.00066787,99.83,0.02,0.13
0,DGY1817_3,133054,1360049.25,0.097830281,0.04,70.3,31.38
0,DGY1741_1,845720.44,2165364.25,0.390567287,0.05,0.05,99.84
0,DGY1919_2,401490.06,1858706.88,0.216005043,0.09,0.32,99.36
0,DGY1315_2,186940.33,1336288,0.13989524,0.08,0.27,99.77
0,DGY500_3,94724.73,1325006.5,0.071490012,0.11,95.15,5.58
0,DGY1743_1,383366.06,1642605,0.233389074,0.05,0.02,99.93
0,DGY1733_2,220367.56,2063502.88,0.10679295,0.11,33.52,68.33
0,DGY500_2,90054.3,1271253,0.070839007,0.04,96.58,4.32
0,DGY1315_3,194556.19,1400648.88,0.138904327,0.02,0.5,99.65
0,DGY1744_1,352845.91,1497290.75,0.235656241,0.02,0.02,99.93
0,DGY1_2,911.5,1388162.5,0.000656623,99.81,0.04,0.09
0,DGY1735_2,394242.03,1837127.5,0.214596989,0.31,6.52,93.41
0,DGY1741_3,795688.38,2190574.5,0.363232741,0.13,0.15,99.61
0,DGY1817_1,138289.95,1363167.88,0.101447483,0.04,63.45,38.56
0,DGY500_1,94176.66,1290873,0.07295579,0.15,95.26,5.88
0,DGY1743_3,329209.31,1461563.75,0.225244578,0.02,0.02,99.85
0,DGY1733_3,211815.86,2085499.38,0.101566014,0.15,38.76,62.27
0,DGY1919_1,395654.03,1839194.75,0.21512351,0.43,0.49,98.8
0,DGY1315_1,194722.27,1369149.25,0.142221361,0.1,0.19,99.73
0,DGY1744_3,308340.72,1385793.63,0.222501182,0.11,0.02,99.85
0,DGY1735_3,391107.63,1839151,0.212656617,0.23,6.4,93.57
0,DGY1_1,1016.78,1542752,0.000659069,99.6,0.07,0.22
0,DGY1919_3,380304.72,1799774,0.211306931,0.52,0.26,98.96
0,DGY1817_2,131662.81,1332169.5,0.098833377,0.06,69.73,32.03
14,DGY1733_1,157436.63,2724827.5,0.057778568,0.38,95.78,4.45
14,DGY1744_2,288513.44,2300737.75,0.125400403,0.17,0.16,99.63
14,DGY1741_2,625550.06,2521038.75,0.24813187,0.17,0.19,99.45
14,DGY1735_1,372247.38,2690316.75,0.138365633,0.84,9,89.97
14,DGY1743_2,287747.63,2323582.5,0.123837923,0.13,0.25,99.56
14,DGY1_3,1076.76,2141464.5,0.000502815,99.96,0,0.02
14,DGY1817_3,93502.62,2261708.25,0.041341592,0.04,93.28,6.81
14,DGY1741_1,593696.88,2368465.25,0.250667338,0.1,0.16,99.57
14,DGY1919_2,316037.69,2433828.5,0.129852079,1.05,0.56,98.02
14,DGY500_3,98367.88,2207939.5,0.044551891,0.06,97.12,3.07
14,DGY1743_1,281761.22,2250504,0.125199164,0.1,0.13,99.75
14,DGY1733_2,161793.69,2798179.25,0.05782106,0.43,95.11,5.07
14,DGY500_2,81421.14,2039934.25,0.03991361,0.06,98.94,1.11
14,DGY1315_3,186227.5,2188626.75,0.085088743,0.05,2.09,98.35
14,DGY1744_1,270172.25,2113490.5,0.127832252,0.1,0.07,99.79
14,DGY1_2,1121.23,2039562.5,0.00054974,99.9,0.06,0.01
14,DGY1735_2,370777.66,2782458.5,0.133255414,1.28,8.94,89.42
14,DGY1741_3,647026.5,2633829.5,0.245659979,0.13,0.28,99.44
14,DGY1817_1,88631.86,1993545.25,0.044459417,0.08,92.48,7.57
14,DGY500_1,94844.77,2136485.5,0.044392892,0.06,96.87,3.29
14,DGY1743_3,301966.88,2467476.75,0.122378815,0.19,0.16,99.66
14,DGY1733_3,183040.56,2945130.75,0.062150232,0.22,92.24,8.48
14,DGY1919_1,321799.91,2418380.5,0.133064218,1.07,0.76,97.89
14,DGY1315_1,190802.09,2169518,0.087946765,0.08,0.74,99.32
14,DGY1744_3,316750.78,2470859.5,0.128194574,0.15,0.15,99.66
14,DGY1735_3,404585.53,2825354,0.143198173,1.21,6.59,92
14,DGY1_1,1205.83,2163964.25,0.000557232,99.94,0.01,0.02
14,DGY1919_3,333176.81,2491733,0.133712886,1.49,0.59,97.69
14,DGY1817_2,101908.92,2259115,0.045110107,0.08,90.6,9.73
26,DGY1733_1,171977.67,2765499.25,0.062186844,0.17,87.21,16.03
26,DGY1744_2,307605.75,2392547,0.128568321,0.12,0.17,99.7
26,DGY1741_2,610838.25,2388155.5,0.255778257,0.37,0.16,99.31
26,DGY1735_1,379333.78,2793711,0.135781325,0.63,3.49,95.76
26,DGY1743_2,300377.28,2439222.5,0.123144682,0.08,0.36,99.56
26,DGY1_3,1415.67,2309670.25,0.000612932,99.86,0.02,0
26,DGY1817_3,94185.02,2113877.25,0.044555577,0.14,94.14,6.13
26,DGY1741_1,602798.63,2329428.5,0.258775331,0.12,0.08,99.72
26,DGY1919_2,315583.03,2309971.75,0.136617701,1.04,0.62,98
26,DGY1315_2,192746.45,2214948,0.087020756,0.05,0.27,99.71
26,DGY500_3,92157.47,2089830.75,0.044098054,0.04,96.97,3.41
26,DGY1743_1,324758.13,2487287.25,0.130567199,5.04,1.14,93.41
26,DGY1733_2,176402.73,2776493,0.063534369,0.4,84.58,18.97
26,DGY500_2,90820.1,2040651.5,0.044505443,0.04,96.95,3.27
26,DGY1315_3,189843,2171564,0.087422245,0.11,0.29,99.64
26,DGY1744_1,296632.25,2299476.5,0.128999905,0.14,0.26,99.61
26,DGY1_2,1256.06,1971471,0.000637118,99.91,0,0
26,DGY1735_2,399259.56,2907835,0.137304751,0.72,3.91,95.22
26,DGY1741_3,612652.13,2423062.5,0.252842067,0.28,0.17,99.28
26,DGY1817_1,93077.95,2080362.5,0.044741217,0.07,95.13,5.14
26,DGY500_1,92301.01,2079850.88,0.044378667,0.07,96.69,3.64
26,DGY1743_3,305466.19,2475611,0.123390222,0.08,0.52,99.37
26,DGY1733_3,188377.8,2961236.5,0.063614575,0.29,86.69,16.9
26,DGY1919_1,321194.44,2305255.25,0.139331399,1.55,1.29,97.07
26,DGY1315_1,191493.34,2185960,0.087601484,0.02,0.38,99.71
26,DGY1744_3,332037.16,2586499.5,0.128373178,0.13,0.19,99.68
26,DGY1735_3,407989.06,2980129,0.136903154,1.2,4.06,94.56
26,DGY1_1,1404.83,2254303.5,0.000623177,99.86,0.02,0
