Strain,DGY_name,Alias,Slope,Slope_plus_one,Intercept,R_value,P_value,Std_err,Type,SBI_min,SBI_max
G_1,DGY1741,DGY1741,0.017078671,1.017078671,0.128134572,0.260508192,0.41348555,0.020015765,CNV,,
G_2,DGY1743,DGY1743,-0.0018029,0.9981971,0.067450307,-0.069056274,0.831132758,0.008236268,CNV,,
G_3,DGY1744,DGY1744,0.010546305,1.010546305,0.020210658,0.491173878,0.104889819,0.005914444,CNV,,
G_4,DGY1886,DGY1886,-0.041026288,0.958973712,0.032068835,-0.564195456,0.014728843,0.015009424,CNV_R,0.9694,0.9798
G_4_R1,DGY3417,DGY1886_R12,0.029006236,1.029006236,-0.233426351,0.398115431,0.101783452,0.016709001,Rev_partial,,
G_4_R2,DGY3286,DGY1886_R1,0.01696091,1.01696091,-0.101480499,0.397249147,0.201005414,0.012390591,Rev,,
G_4_R3,DGY3287,DGY1886_R2,0.075152446,1.075152446,-0.050177515,0.8464298006153405,0.00400796,0.017869937332892213,Rev,,
G_4_R4,DGY3288,DGY1886_R3,0.09586603,1.09586603,-0.04039603,0.9628273013036602,3.144274573451985e-05,0.010165305101328284,Rev,,
G_4_R5,DGY3289,DGY1886_R4,0.051089542,1.051089542,-0.212175574,0.68018776,0.001895323,0.013764792,Rev,,
G_4_R6,DGY3410,DGY1886_R5,-0.011484295,0.988515705,-0.258488757,-0.246344663,0.324419397,0.011295531,Rev,,
G_4_R7,DGY3412,DGY1886_R7,0.055581642,1.055581642,-0.063119213,0.930011631,1.17E-05,0.006946018,Rev,,
G_4_R8,DGY3414,DGY1886_R9,0.050699073,1.050699073,-0.280907763,0.542924885,0.019897111,0.019604983,Rev,,
G_4_R9,DGY3418,DGY1886_R13,0.00641909,1.00641909,-0.162021601,0.183978127,0.567062104,0.010845011,Rev,,
G_4_R10,DGY3420,DGY1886_R15,0.036007594,1.036007594,-0.341154231,0.480539447,0.043531991,0.016428252,Rev,,
G_5,DGY1917,DGY1917,-0.011491823,0.988508177,0.001672107,-0.550551785,0.0636053,0.00551028,CNV,,
G_6,DGY1883,DGY1883,0.038165055014770556,1.038165055,-0.098562043,0.7976852434306855,0.001879506,0.009124413,CNV,,
G_7,DGY1988,DGY1988,0.020948084,1.020948084,-0.025199347,0.867099956,0.000260119,0.003805586,CNV,,
G_8,DGY1976,DGY1976,0.014073064,1.014073064,-0.020052925,0.572092179,0.05193505,0.006380236,CNV,,
G_9,DGY1920,DGY1920,0.031469558,1.031469558,-0.118641101,0.5361989732808066,0.072319453,0.015665860615524576,CNV,,
M_10,DGY2702,DGY2702,-0.017474672,0.982525328,0.010116825,-0.201817831,0.52934152,0.026817595,CNV,,
P_11,DGY2769,DGY2769,-0.029731117,0.970268883,-0.091901721,-0.610495503,0.03499771,0.012197329,CNV,,
GM_12,DGY2748,DGY2748,-0.078595436,0.921404564,0.063132284,-0.85778551,0.000359049,0.014893211,CNV_R,0.92209492,0.9476757
GM_12_R1,DGY3422,DGY2748_R3,-0.051287722,0.948712278,-0.229022409,-0.814304817,3.90E-05,0.009139488,Rev_partial,,
GM_12_R2,DGY3427,DGY2748_R8,-0.051444849,0.948555151,-0.069897353,-0.892364384,9.47E-05,0.00822773,Rev_partial,,
GM_12_R3,DGY3429,DGY2748_R10,-0.005819899,0.994180101,-0.058558872,-0.264976366,0.287947439,0.005294686,Rev_partial,,
GM_12_R4,DGY3290,DGY2748_R1,0.002624913,1.002624913,-0.133320459,0.073464107,0.772047956,0.0089085,Rev,,
GM_12_R5,DGY3421,DGY2748_R2,-0.029598747,0.970401253,-0.159376581,-0.569422188,0.013638995,0.010682543,Rev,,
GM_12_R6,DGY3426,DGY2748_R7,-0.03986083,0.96013917,-0.102155344,-0.737123667,0.006231971,0.011555722,Rev,,
GM_13,DGY2750,DGY2750,-0.085880264,0.914119736,0.084531442,-0.81029435,4.56E-05,0.015527635,CNV_R,0.92233656,0.9534311
GM_13_R1,DGY3291,DGY2750_R1,-0.014941375,0.985058625,-0.077811024,-0.555369841,0.016725074,0.005593255,Rev,,
GM_13_R2,DGY3430,DGY2750_R2,-0.033503586,0.966496414,-0.334210402,-0.61107509,0.007056383,0.010849944,Rev,,
GM_13_R3,DGY3434,DGY2750_R6,0.024353676,1.024353676,-0.02497555,0.923933448,1.76E-05,0.003188715,Rev,,
GM_13_R4,DGY3435,DGY2750_R7,-0.036145291,0.963854709,-0.269760784,-0.705151728,0.001080955,0.009086361,Rev,,
GM_14,DGY2751,DGY2751,-0.09438644,0.90561356,0.023298292,-0.91033222,3.92E-05,0.013570078,CNV_R,0.90289836,0.92137516
